food_name,source,serving_size_g,calories,protein_g,carb_g,fat_g,notes,calcium_mg,iron_mg
光泉無加糖濃豆漿,光泉,375,190,19.1,7.9,9.8,每包375ml；膳食纖維3g；無加糖,,
全家日式和風沙拉醬,全家FamilyMart,40,48,0.6,8.4,1.4,每包40g；鈉366mg；魔術食品工業,,
福樂頂級鮮奶優酪,福樂Foremost,135,83,4.1,5.5,4.9,每杯135g；鈣122mg；含自然乳糖5.3g，無添加糖,,
義美生醫W PROTEIN抹茶乳清,義美生醫I-Mei,35,141,21.5,8.3,2.4,每包35g；咖啡因75.2mg；乳清分離+濃縮蛋白,,
義美生醫W PROTEIN VEGAN豌豆蛋白,義美生醫I-Mei,15,63,12.5,0.3,1.3,每15g；純素豌豆蛋白；MFP標示值,,
光泉無加糖濃黑豆漿特濃5.1,光泉,375,204,19.1,11.6,9.8,每盒375ml；黑豆；標示值,,
Hi-Life雞肉多多蛋白餐,萊爾富Hi-Life,380,408,33.1,44.1,11.0,每盒380g；十穀飯+雞胸+烤豆腐；標示值,,
大麥仁,食藥署台灣食品成分資料庫,100,346.7,8.6,77.1,1.6,穀物類；每100g；食藥署標示值,26,1.8
大麥片,食藥署台灣食品成分資料庫,100,351.9,8.6,76.7,1.8,穀物類；每100g；食藥署標示值,13,2.2
大麥仁粉,食藥署台灣食品成分資料庫,100,373.6,7.1,85.0,1.3,穀物類；每100g；食藥署標示值,25,1.1
小米,食藥署台灣食品成分資料庫,100,365.5,11.3,71.7,3.7,穀物類；每100g；食藥署標示值,5,2.9
小米(2025年取樣),食藥署台灣食品成分資料庫,100,370.9,11.0,73.6,3.9,穀物類；每100g；食藥署標示值,5,2.9
糯小米,食藥署台灣食品成分資料庫,100,357.2,12.5,72.5,1.5,穀物類；每100g；食藥署標示值,9,2.2
小麥,食藥署台灣食品成分資料庫,100,337.7,14.1,69.2,2.6,穀物類；每100g；食藥署標示值,19,3.4
小麥胚芽,食藥署台灣食品成分資料庫,100,395.8,31.4,47.9,11.6,穀物類；每100g；食藥署標示值,45,6
去筋麵粉,食藥署台灣食品成分資料庫,100,354.0,0.2,85.7,0.1,穀物類；每100g；食藥署標示值,7,0
低筋麵粉,食藥署台灣食品成分資料庫,100,359.4,8.1,78.2,1.2,穀物類；每100g；食藥署標示值,12,1.2
中筋麵粉,食藥署台灣食品成分資料庫,100,357.2,11.5,74.1,1.3,穀物類；每100g；食藥署標示值,12,0.9
高筋麵粉,食藥署台灣食品成分資料庫,100,357.6,12.9,73.1,1.2,穀物類；每100g；食藥署標示值,11,1.2
高筋麵粉(2021年取樣),食藥署台灣食品成分資料庫,100,357.0,13.8,72.2,1.3,穀物類；每100g；食藥署標示值,14,0.9
全麥麵粉,食藥署台灣食品成分資料庫,100,342.3,13.0,71.4,1.7,穀物類；每100g；食藥署標示值,23,3.4
雜糧中筋麵粉,食藥署台灣食品成分資料庫,100,349.6,13.1,72.0,2.3,穀物類；每100g；食藥署標示值,24,1.8
雜糧高筋麵粉,食藥署台灣食品成分資料庫,100,349.7,14.3,69.6,2.8,穀物類；每100g；食藥署標示值,24,1.9
白玉米,食藥署台灣食品成分資料庫,100,58.0,3.4,11.4,0.6,穀物類；每100g；食藥署標示值,5,0.6
糯玉米(紫色),食藥署台灣食品成分資料庫,100,157.4,4.5,34.4,1.0,穀物類；每100g；食藥署標示值,6,0.9
甜玉米,食藥署台灣食品成分資料庫,100,96.9,3.2,17.8,2.5,穀物類；每100g；食藥署標示值,3,0.5
雙色水果玉米,食藥署台灣食品成分資料庫,100,96.9,3.1,17.5,2.6,穀物類；每100g；食藥署標示值,3,0.7
糯玉米(雙色),食藥署台灣食品成分資料庫,100,164.8,4.7,33.4,1.9,穀物類；每100g；食藥署標示值,6,0.9
冷凍玉米粒,食藥署台灣食品成分資料庫,100,167.0,3.1,22.5,8.2,穀物類；每100g；食藥署標示值,3,0.6
乾玉米粒,食藥署台灣食品成分資料庫,100,345.9,10.9,72.2,3.9,穀物類；每100g；食藥署標示值,6,2.4
玉米胚芽,食藥署台灣食品成分資料庫,100,353.9,7.0,80.3,0.9,穀物類；每100g；食藥署標示值,3,0.8
玉米粉,食藥署台灣食品成分資料庫,100,368.2,0.3,88.3,0.4,穀物類；每100g；食藥署標示值,2,0.2
秈米平均值,食藥署台灣食品成分資料庫,100,355.4,7.8,77.4,0.9,穀物類；每100g；食藥署標示值,5,0.3
秈米(台中在來2號),食藥署台灣食品成分資料庫,100,353.7,8.2,76.3,1.0,穀物類；每100g；食藥署標示值,5,0.3
秈米(台中秈10號),食藥署台灣食品成分資料庫,100,357.1,7.4,78.5,0.7,穀物類；每100g；食藥署標示值,5,0.2
秈米(台中秈10號)(2024年取樣),食藥署台灣食品成分資料庫,100,355.8,6.1,79.8,0.6,穀物類；每100g；食藥署標示值,6,0.4
稉米平均值,食藥署台灣食品成分資料庫,100,352.5,7.0,77.8,0.7,穀物類；每100g；食藥署標示值,5,0.4
稉米(台中189號),食藥署台灣食品成分資料庫,100,354.9,7.5,78.1,0.6,穀物類；每100g；食藥署標示值,5,0.7
稉米(台南11號),食藥署台灣食品成分資料庫,100,346.7,6.7,77.2,0.5,穀物類；每100g；食藥署標示值,4,0.2
稉米(台稉2號),食藥署台灣食品成分資料庫,100,355.5,7.2,78.7,0.5,穀物類；每100g；食藥署標示值,5,0.4
稉米(台稉8號),食藥署台灣食品成分資料庫,100,354.2,6.9,78.8,0.4,穀物類；每100g；食藥署標示值,4,0.4
稉米(台稉9號),食藥署台灣食品成分資料庫,100,352.0,6.6,78.2,0.6,穀物類；每100g；食藥署標示值,5,0.2
稉米(台農71號),食藥署台灣食品成分資料庫,100,354.7,7.9,77.8,0.6,穀物類；每100g；食藥署標示值,5,0.3
稉米(高雄139號),食藥署台灣食品成分資料庫,100,354.5,6.1,78.5,1.2,穀物類；每100g；食藥署標示值,6,1
稉米(高雄142號),食藥署台灣食品成分資料庫,100,352.1,7.0,77.7,0.6,穀物類；每100g；食藥署標示值,6,0.2
稉米(高雄145號),食藥署台灣食品成分資料庫,100,362.4,6.8,80.0,1.0,穀物類；每100g；食藥署標示值,5,0.3
稉米(高雄139號)(2021年取樣),食藥署台灣食品成分資料庫,100,350.6,5.7,79.2,0.5,穀物類；每100g；食藥署標示值,3,0
稉米(高雄147),食藥署台灣食品成分資料庫,100,355.7,5.5,79.8,0.9,穀物類；每100g；食藥署標示值,,
越光米,食藥署台灣食品成分資料庫,100,337.7,7.6,73.2,1.0,穀物類；每100g；食藥署標示值,5,0.1
越光米(台南16號)(2024年取樣),食藥署台灣食品成分資料庫,100,354.0,6.9,79.1,0.3,穀物類；每100g；食藥署標示值,5,0.4
秈型糯米(台中糯70號),食藥署台灣食品成分資料庫,100,360.5,7.9,78.4,0.9,穀物類；每100g；食藥署標示值,5,0.2
秈型糯米(2025年取樣),食藥署台灣食品成分資料庫,100,360.3,7.0,79.6,0.8,穀物類；每100g；食藥署標示值,,
稉型糯米平均值,食藥署台灣食品成分資料庫,100,356.7,8.3,77.4,0.8,穀物類；每100g；食藥署標示值,7,0.4
稉型糯米,食藥署台灣食品成分資料庫,100,357.1,8.4,78.0,0.5,穀物類；每100g；食藥署標示值,6,0.4
稉型糯米(台稉糯1號),食藥署台灣食品成分資料庫,100,356.2,8.2,76.8,1.1,穀物類；每100g；食藥署標示值,7,0.4
稉型糯米(2025年取樣),食藥署台灣食品成分資料庫,100,358.7,6.8,79.4,0.9,穀物類；每100g；食藥署標示值,6,0.4
野生紅米,食藥署台灣食品成分資料庫,100,352.4,7.7,74.7,2.6,穀物類；每100g；食藥署標示值,15,0.7
紅糯糙米,食藥署台灣食品成分資料庫,100,352.2,9.9,72.6,2.8,穀物類；每100g；食藥署標示值,12,1
黑秈糯糙米,食藥署台灣食品成分資料庫,100,350.4,10.1,70.1,3.5,穀物類；每100g；食藥署標示值,9,1.6
黑秈糯糙米(2025年取樣),食藥署台灣食品成分資料庫,100,357.8,7.9,74.5,3.7,穀物類；每100g；食藥署標示值,9,1.6
胚芽秈米(台中秈10號),食藥署台灣食品成分資料庫,100,357.1,8.3,76.1,2.1,穀物類；每100g；食藥署標示值,9,0.9
胚芽稉米平均值,食藥署台灣食品成分資料庫,100,358.5,8.2,76.8,1.6,穀物類；每100g；食藥署標示值,8,0.6
胚芽稉米(台稉10號）,食藥署台灣食品成分資料庫,100,356.6,7.3,77.2,1.7,穀物類；每100g；食藥署標示值,8,0.6
胚芽稉米(台稉9號),食藥署台灣食品成分資料庫,100,360.4,9.1,76.5,1.5,穀物類；每100g；食藥署標示值,8,0.5
發芽稉米平均值,食藥署台灣食品成分資料庫,100,347.9,7.8,74.0,2.3,穀物類；每100g；食藥署標示值,29,0.9
發芽稉米(台稉71號),食藥署台灣食品成分資料庫,100,349.7,7.4,73.9,2.8,穀物類；每100g；食藥署標示值,31,0.8
發芽稉米(台稉9號）,食藥署台灣食品成分資料庫,100,346.0,8.2,74.1,1.9,穀物類；每100g；食藥署標示值,28,1
糙秈米,食藥署台灣食品成分資料庫,100,351.8,7.3,73.6,3.2,穀物類；每100g；食藥署標示值,14,0.9
糙稉米平均值,食藥署台灣食品成分資料庫,100,354.7,7.4,76.6,2.3,穀物類；每100g；食藥署標示值,13,1
糙稉米(台稉71號),食藥署台灣食品成分資料庫,100,352.9,9.0,73.6,2.6,穀物類；每100g；食藥署標示值,9,1.5
糙稉米(台稉9號),食藥署台灣食品成分資料庫,100,354.7,7.4,76.6,2.3,穀物類；每100g；食藥署標示值,13,1
糙稉米(台中194),食藥署台灣食品成分資料庫,100,356.6,6.6,76.4,3.1,穀物類；每100g；食藥署標示值,,
黑秈糙米,食藥署台灣食品成分資料庫,100,353.8,7.5,74.0,3.5,穀物類；每100g；食藥署標示值,10,1.1
加鈣米,食藥署台灣食品成分資料庫,100,353.7,7.4,77.7,0.7,穀物類；每100g；食藥署標示值,170,0.5
高纖米,食藥署台灣食品成分資料庫,100,356.7,8.3,75.2,2.5,穀物類；每100g；食藥署標示值,4,1.5
五穀米,食藥署台灣食品成分資料庫,100,348.0,8.7,72.9,2.9,穀物類；每100g；食藥署標示值,19,1.6
米胚芽,食藥署台灣食品成分資料庫,100,359.8,17.0,52.9,12.7,穀物類；每100g；食藥署標示值,43,7.2
秈米粉,食藥署台灣食品成分資料庫,100,362.2,4.2,83.4,0.4,穀物類；每100g；食藥署標示值,12,0.5
糙米粉,食藥署台灣食品成分資料庫,100,386.0,11.3,78.1,3.2,穀物類；每100g；食藥署標示值,11,1
白糯米粉,食藥署台灣食品成分資料庫,100,358.6,4.5,82.3,0.4,穀物類；每100g；食藥署標示值,18,0.7
白飯,食藥署台灣食品成分資料庫,100,182.0,3.1,41.0,0.2,穀物類；每100g；食藥署標示值,1,0.2
高梁,食藥署台灣食品成分資料庫,100,360.8,11.0,73.6,3.0,穀物類；每100g；食藥署標示值,7,2.2
糯高梁,食藥署台灣食品成分資料庫,100,356.9,10.7,75.7,1.0,穀物類；每100g；食藥署標示值,8,1.3
黑麥片,食藥署台灣食品成分資料庫,100,336.4,7.8,77.3,1.2,穀物類；每100g；食藥署標示值,16,4
燕麥,食藥署台灣食品成分資料庫,100,387.9,10.9,67.4,10.2,穀物類；每100g；食藥署標示值,25,3.8
燕麥片,食藥署台灣食品成分資料庫,100,383.4,12.3,64.1,9.7,穀物類；每100g；食藥署標示值,40,2.3
即食燕麥片,食藥署台灣食品成分資料庫,100,383.9,11.9,67.9,9.6,穀物類；每100g；食藥署標示值,30,4.4
蕎麥(甜蕎),食藥署台灣食品成分資料庫,100,353.4,11.0,71.3,2.9,穀物類；每100g；食藥署標示值,13,2.9
蕎麥(甜蕎)(2025年取樣),食藥署台灣食品成分資料庫,100,348.1,11.4,70.6,2.8,穀物類；每100g；食藥署標示值,13,2.9
薏仁,食藥署台灣食品成分資料庫,100,374.7,14.1,66.2,6.0,穀物類；每100g；食藥署標示值,19,2.7
薏仁(2025年取樣),食藥署台灣食品成分資料庫,100,381.2,15.0,66.5,7.1,穀物類；每100g；食藥署標示值,19,2.7
糙薏仁,食藥署台灣食品成分資料庫,100,378.9,13.7,65.9,7.4,穀物類；每100g；食藥署標示值,11,4.4
薏仁粉,食藥署台灣食品成分資料庫,100,388.8,10.9,80.0,3.5,穀物類；每100g；食藥署標示值,14,2.5
紅藜麥,食藥署台灣食品成分資料庫,100,361.3,12.1,66.8,6.7,穀物類；每100g；食藥署標示值,31,4.6
台灣藜(紅)(帶殼),食藥署台灣食品成分資料庫,100,346.4,14.9,62.3,8.4,穀物類；每100g；食藥署標示值,251,9.4
淮山,食藥署台灣食品成分資料庫,100,351.3,5.3,82.4,0.3,澱粉類；每100g；食藥署標示值,37,2.5
山藥平均值,食藥署台灣食品成分資料庫,100,82.7,2.8,17.8,0.1,澱粉類；每100g；食藥署標示值,17,0.8
山藥(二刺),食藥署台灣食品成分資料庫,100,85.8,2.7,18.9,0.1,澱粉類；每100g；食藥署標示值,3,0.7
山藥(大汕1號),食藥署台灣食品成分資料庫,100,77.9,2.4,17.0,0.1,澱粉類；每100g；食藥署標示值,3,1
山藥(大汕3號),食藥署台灣食品成分資料庫,100,69.8,2.6,15.0,0.1,澱粉類；每100g；食藥署標示值,1,0.9
山藥(大刺),食藥署台灣食品成分資料庫,100,82.1,3.5,17.1,0.1,澱粉類；每100g；食藥署標示值,8,1.1
山藥(中國長品),食藥署台灣食品成分資料庫,100,73.3,2.5,15.5,0.1,澱粉類；每100g；食藥署標示值,3,0.8
山藥(台農1號),食藥署台灣食品成分資料庫,100,90.8,2.6,19.9,0.1,澱粉類；每100g；食藥署標示值,5,0.7
山藥(台農2號),食藥署台灣食品成分資料庫,100,93.7,3.2,19.9,0.1,澱粉類；每100g；食藥署標示值,12,1
山藥(白皮削),食藥署台灣食品成分資料庫,100,72.1,2.5,15.7,0.1,澱粉類；每100g；食藥署標示值,1,0.8
山藥(尖石原生種),食藥署台灣食品成分資料庫,100,62.0,3.1,12.4,0.1,澱粉類；每100g；食藥署標示值,2,0.6
山藥(宜蘭原生種),食藥署台灣食品成分資料庫,100,135.4,4.8,29.1,0.2,澱粉類；每100g；食藥署標示值,19,0.7
山藥(花蓮3號),食藥署台灣食品成分資料庫,100,90.3,1.7,20.9,0.1,澱粉類；每100g；食藥署標示值,16,1
山藥(青森),食藥署台灣食品成分資料庫,100,89.2,2.6,19.9,0.2,澱粉類；每100g；食藥署標示值,14,0.7
山藥(高田),食藥署台灣食品成分資料庫,100,68.6,3.1,14.0,0.1,澱粉類；每100g；食藥署標示值,1,0.8
山藥(白肉),食藥署台灣食品成分資料庫,100,66.5,2.1,14.4,0.1,澱粉類；每100g；食藥署標示值,146,0.4
紫山藥,食藥署台灣食品成分資料庫,100,90.0,2.8,19.6,0.1,澱粉類；每100g；食藥署標示值,2,0.7
木薯粉,食藥署台灣食品成分資料庫,100,361.3,0.1,87.3,0.2,澱粉類；每100g；食藥署標示值,32,0.3
白皮甘藷,食藥署台灣食品成分資料庫,100,113.2,1.3,27.5,0.1,澱粉類；每100g；食藥署標示值,17,0.3
菱角牛奶甘藷,食藥署台灣食品成分資料庫,100,129.7,1.9,29.9,0.3,澱粉類；每100g；食藥署標示值,17,0.6
芋心甘藷,食藥署台灣食品成分資料庫,100,116.3,1.1,28.5,0.1,澱粉類；每100g；食藥署標示值,33,1.1
紅肉甘藷,食藥署台灣食品成分資料庫,100,108.6,1.8,25.4,0.2,澱粉類；每100g；食藥署標示值,25,0.5
金時甘藷,食藥署台灣食品成分資料庫,100,133.7,1.6,31.3,0.4,澱粉類；每100g；食藥署標示值,39,0.5
黃肉甘藷,食藥署台灣食品成分資料庫,100,115.3,1.3,27.8,0.2,澱粉類；每100g；食藥署標示值,46,0.3
甘藷粉,食藥署台灣食品成分資料庫,100,356.5,1.0,85.5,0.2,澱粉類；每100g；食藥署標示值,49,1.4
油炸脫水甘藷,食藥署台灣食品成分資料庫,100,474.9,2.3,61.2,30.1,澱粉類；每100g；食藥署標示值,158,1.6
芋頭,食藥署台灣食品成分資料庫,100,122.9,2.5,26.4,1.1,澱粉類；每100g；食藥署標示值,28,0.9
小芋頭(山芋),食藥署台灣食品成分資料庫,100,106.7,2.3,22.8,1.2,澱粉類；每100g；食藥署標示值,22,1.1
檳榔心芋,食藥署台灣食品成分資料庫,100,115.4,1.3,28.1,0.0,澱粉類；每100g；食藥署標示值,28,0.6
檳榔心芋(2021年取樣),食藥署台灣食品成分資料庫,100,103.0,1.1,24.8,0.0,澱粉類；每100g；食藥署標示值,20,0.5
冷凍芋頭塊,食藥署台灣食品成分資料庫,100,135.1,2.2,24.9,4.3,澱粉類；每100g；食藥署標示值,38,1.6
芋頭粉,食藥署台灣食品成分資料庫,100,314.9,0.1,83.1,0.0,澱粉類；每100g；食藥署標示值,9,0
豆薯,食藥署台灣食品成分資料庫,100,28.8,0.7,6.8,0.1,澱粉類；每100g；食藥署標示值,12,0.1
紅馬鈴薯(粉紅珍珠馬鈴薯),食藥署台灣食品成分資料庫,100,63.0,1.6,14.4,0.0,澱粉類；每100g；食藥署標示值,7,0.5
馬鈴薯,食藥署台灣食品成分資料庫,100,74.2,2.6,15.8,0.2,澱粉類；每100g；食藥署標示值,4,0.6
馬鈴薯(2022年取樣),食藥署台灣食品成分資料庫,100,67.9,2.3,14.9,0.0,澱粉類；每100g；食藥署標示值,10,0.6
小馬鈴薯(珍珠馬鈴薯),食藥署台灣食品成分資料庫,100,57.0,1.7,12.8,0.0,澱粉類；每100g；食藥署標示值,4,0
馬鈴薯粉,食藥署台灣食品成分資料庫,100,345.8,0.1,83.8,0.1,澱粉類；每100g；食藥署標示值,39,0.3
荸薺,食藥署台灣食品成分資料庫,100,62.8,1.7,14.5,0.1,澱粉類；每100g；食藥署標示值,3,0.5
荸薺(2025年取樣),食藥署台灣食品成分資料庫,100,44.9,1.2,10.1,0.2,澱粉類；每100g；食藥署標示值,3,0.5
荸薺粉,食藥署台灣食品成分資料庫,100,363.8,0.4,87.8,0.2,澱粉類；每100g；食藥署標示值,11,1.5
蓮藕,食藥署台灣食品成分資料庫,100,58.2,2.0,13.5,0.2,澱粉類；每100g；食藥署標示值,24,0.5
熟蓮藕,食藥署台灣食品成分資料庫,100,47.2,1.1,11.0,0.1,澱粉類；每100g；食藥署標示值,13,0.4
熟蓮藕切片(水煮),食藥署台灣食品成分資料庫,100,65.9,0.8,16.9,0.0,澱粉類；每100g；食藥署標示值,20,0.2
蓮藕粉,食藥署台灣食品成分資料庫,100,364.2,0.1,88.3,0.1,澱粉類；每100g；食藥署標示值,44,0.8
菱角(生),食藥署台灣食品成分資料庫,100,72.4,1.9,16.1,0.3,澱粉類；每100g；食藥署標示值,19,5.9
菱角仁(生),食藥署台灣食品成分資料庫,100,113.5,4.1,24.1,0.3,澱粉類；每100g；食藥署標示值,23,1.1
菱角(熟),食藥署台灣食品成分資料庫,100,139.8,4.2,31.0,0.2,澱粉類；每100g；食藥署標示值,11,1.3
蒟蒻粉,食藥署台灣食品成分資料庫,100,336.6,0.2,87.2,0.2,澱粉類；每100g；食藥署標示值,291,0.6
甘扁桃仁片(生),食藥署台灣食品成分資料庫,100,550.4,27.3,17.0,47.8,堅果及種子類；每100g；食藥署標示值,273,3.1
甘扁桃仁片(熟),食藥署台灣食品成分資料庫,100,588.1,23.4,14.8,56.9,堅果及種子類；每100g；食藥署標示值,262,3.6
甘扁桃仁(熟),食藥署台灣食品成分資料庫,100,567.5,21.9,23.2,49.8,堅果及種子類；每100g；食藥署標示值,253,3.6
松子仁(生),食藥署台灣食品成分資料庫,100,669.1,16.6,9.4,69.5,堅果及種子類；每100g；食藥署標示值,15,5.3
原味松子仁,食藥署台灣食品成分資料庫,100,668.1,14.5,13.0,69.0,堅果及種子類；每100g；食藥署標示值,13,5.3
原味夏威夷豆,食藥署台灣食品成分資料庫,100,686.9,7.5,18.2,71.6,堅果及種子類；每100g；食藥署標示值,58,2
生核桃,食藥署台灣食品成分資料庫,100,654.6,15.4,11.2,67.9,堅果及種子類；每100g；食藥署標示值,99,2.7
栗子(生),食藥署台灣食品成分資料庫,100,173.0,3.5,41.5,0.6,堅果及種子類；每100g；食藥署標示值,39,1.2
栗子仁(生),食藥署台灣食品成分資料庫,100,158.5,3.7,38.7,0.7,堅果及種子類；每100g；食藥署標示值,25,1.1
開心果,食藥署台灣食品成分資料庫,100,572.7,22.4,20.1,52.7,堅果及種子類；每100g；食藥署標示值,107,3.3
腰果(生),食藥署台灣食品成分資料庫,100,560.7,18.3,30.3,45.5,堅果及種子類；每100g；食藥署標示值,45,6.6
原味腰果,食藥署台灣食品成分資料庫,100,555.8,16.4,35.2,43.7,堅果及種子類；每100g；食藥署標示值,40,5.7
原味榛果,食藥署台灣食品成分資料庫,100,655.1,13.0,17.2,66.5,堅果及種子類；每100g；食藥署標示值,182,3.8
山粉圓,食藥署台灣食品成分資料庫,100,279.8,16.3,58.0,12.8,堅果及種子類；每100g；食藥署標示值,1073,10.1
亞麻仁籽,食藥署台灣食品成分資料庫,100,476.3,20.8,28.1,40.3,堅果及種子類；每100g；食藥署標示值,253,6.7
亞麻仁籽粉,食藥署台灣食品成分資料庫,100,506.4,21.7,28.6,43.6,堅果及種子類；每100g；食藥署標示值,328,6.7
咖啡豆(曼特寧),食藥署台灣食品成分資料庫,100,337.2,13.9,65.1,14.9,堅果及種子類；每100g；食藥署標示值,106,4.3
奇亞子,食藥署台灣食品成分資料庫,100,421.7,21.7,34.8,31.8,堅果及種子類；每100g；食藥署標示值,831,6.6
白芝麻(生),食藥署台灣食品成分資料庫,100,576.3,22.3,15.0,54.9,堅果及種子類；每100g；食藥署標示值,64,6.8
黑芝麻(生),食藥署台灣食品成分資料庫,100,518.9,22.2,17.6,48.1,堅果及種子類；每100g；食藥署標示值,1354,22.3
黑芝麻(生)(2025取樣),食藥署台灣食品成分資料庫,100,522.4,19.1,20.4,49.4,堅果及種子類；每100g；食藥署標示值,1354,22.3
白芝麻(熟),食藥署台灣食品成分資料庫,100,603.4,20.3,15.7,58.7,堅果及種子類；每100g；食藥署標示值,76,6.3
白芝麻(熟)2022年取樣),食藥署台灣食品成分資料庫,100,579.8,21.7,21.2,52.4,堅果及種子類；每100g；食藥署標示值,318,7.4
黑芝麻(熟),食藥署台灣食品成分資料庫,100,570.6,17.3,20.6,54.4,堅果及種子類；每100g；食藥署標示值,1479,10.3
黑芝麻(熟)(2022年取樣),食藥署台灣食品成分資料庫,100,560.8,20.7,21.1,51.8,堅果及種子類；每100g；食藥署標示值,1251,9
黑芝麻粉,食藥署台灣食品成分資料庫,100,575.9,15.7,20.8,55.2,堅果及種子類；每100g；食藥署標示值,1449,8.6
帶殼花生(生),食藥署台灣食品成分資料庫,100,314.0,15.3,12.2,27.2,堅果及種子類；每100g；食藥署標示值,43,2
冷凍帶殼花生(熟),食藥署台灣食品成分資料庫,100,343.5,17.2,13.3,27.4,堅果及種子類；每100g；食藥署標示值,52,1.4
黑金剛花生(生),食藥署台灣食品成分資料庫,100,538.4,27.6,16.6,46.6,堅果及種子類；每100g；食藥署標示值,70,2.8
帶膜花生仁(生)(1995年之前取樣),食藥署台灣食品成分資料庫,100,478.0,28.8,20.6,38.5,堅果及種子類；每100g；食藥署標示值,36,3.5
去膜花生仁(生),食藥署台灣食品成分資料庫,100,543.9,28.8,19.1,45.4,堅果及種子類；每100g；食藥署標示值,50,2.2
帶膜花生仁(生)(2004年取樣),食藥署台灣食品成分資料庫,100,500.1,23.6,28.4,38.1,堅果及種子類；每100g；食藥署標示值,91,3.5
紅土帶殼花生(熟),食藥署台灣食品成分資料庫,100,539.5,31.2,19.5,43.9,堅果及種子類；每100g；食藥署標示值,81,18
花生粉,食藥署台灣食品成分資料庫,100,505.5,28.5,33.0,33.8,堅果及種子類；每100g；食藥署標示值,115,6.8
芡實,食藥署台灣食品成分資料庫,100,336.1,9.9,75.4,0.1,堅果及種子類；每100g；食藥署標示值,7,1.2
愛玉子,食藥署台灣食品成分資料庫,100,299.8,12.2,63.7,12.5,堅果及種子類；每100g；食藥署標示值,714,8.2
原味葵瓜子(去殼),食藥署台灣食品成分資料庫,100,569.1,22.0,18.7,51.9,堅果及種子類；每100g；食藥署標示值,90,6
銀杏果,食藥署台灣食品成分資料庫,100,135.5,4.1,28.9,1.2,堅果及種子類；每100g；食藥署標示值,11,0.5
蓮子,食藥署台灣食品成分資料庫,100,124.4,9.3,25.6,0.5,堅果及種子類；每100g；食藥署標示值,69,5.1
蓮子(乾),食藥署台灣食品成分資料庫,100,306.8,21.8,60.9,1.2,堅果及種子類；每100g；食藥署標示值,129,2.2
山竹,食藥署台灣食品成分資料庫,100,66.8,0.6,18.1,0.3,水果類；每100g；食藥署標示值,11,0.1
木瓜平均值,食藥署台灣食品成分資料庫,100,36.0,0.6,9.9,0.1,水果類；每100g；食藥署標示值,23,0.3
木瓜(2月取樣),食藥署台灣食品成分資料庫,100,28.6,0.7,7.7,0.1,水果類；每100g；食藥署標示值,16,0.4
木瓜(5月取樣),食藥署台灣食品成分資料庫,100,41.4,0.7,11.3,0.1,水果類；每100g；食藥署標示值,39,0.1
木瓜(8月取樣),食藥署台灣食品成分資料庫,100,31.3,0.5,8.8,0.0,水果類；每100g；食藥署標示值,22,0.1
木瓜(11月取樣),食藥署台灣食品成分資料庫,100,42.5,0.4,11.8,0.1,水果類；每100g；食藥署標示值,13,0.5
青木瓜,食藥署台灣食品成分資料庫,100,24.7,0.6,7.2,0.1,水果類；每100g；食藥署標示值,31,0.2
安石榴,食藥署台灣食品成分資料庫,100,59.9,1.7,16.8,0.1,水果類；每100g；食藥署標示值,15,0.4
百香果(台農一號),食藥署台灣食品成分資料庫,100,94.4,2.0,21.3,2.2,水果類；每100g；食藥署標示值,8,0.7
百香果汁,食藥署台灣食品成分資料庫,100,72.6,0.9,18.6,0.4,水果類；每100g；食藥署標示值,5,0.6
金黃奇異果,食藥署台灣食品成分資料庫,100,56.7,0.8,15.0,0.3,水果類；每100g；食藥署標示值,22,0.2
奇異果,食藥署台灣食品成分資料庫,100,51.9,1.1,14.0,0.3,水果類；每100g；食藥署標示值,28,0.3
紅毛丹,食藥署台灣食品成分資料庫,100,70.9,1.0,17.9,0.7,水果類；每100g；食藥署標示值,16,0.5
紅龍果(白肉),食藥署台灣食品成分資料庫,100,48.8,0.9,12.4,0.4,水果類；每100g；食藥署標示值,4,0.4
紅龍果(紅肉),食藥署台灣食品成分資料庫,100,48.0,1.1,12.3,0.2,水果類；每100g；食藥署標示值,9,0.8
北蕉平均值,食藥署台灣食品成分資料庫,100,82.4,1.5,22.1,0.1,水果類；每100g；食藥署標示值,5,0.4
北蕉(2月取樣),食藥署台灣食品成分資料庫,100,90.1,1.3,24.6,0.0,水果類；每100g；食藥署標示值,3,0.5
北蕉(5月取樣),食藥署台灣食品成分資料庫,100,88.9,1.6,23.7,0.2,水果類；每100g；食藥署標示值,3,0.2
北蕉(9月取樣),食藥署台灣食品成分資料庫,100,62.8,1.3,16.6,0.0,水果類；每100g；食藥署標示值,10,0.2
北蕉(11月取樣),食藥署台灣食品成分資料庫,100,87.8,1.6,23.4,0.1,水果類；每100g；食藥署標示值,3,0.6
"北蕉(0天,綠皮)",食藥署台灣食品成分資料庫,100,87.3,1.3,23.3,0.3,水果類；每100g；食藥署標示值,4,0.4
北蕉(1天),食藥署台灣食品成分資料庫,100,84.4,1.4,22.2,0.3,水果類；每100g；食藥署標示值,4,0.4
北蕉(3天),食藥署台灣食品成分資料庫,100,80.9,1.4,21.3,0.3,水果類；每100g；食藥署標示值,4,0.3
北蕉(7天),食藥署台灣食品成分資料庫,100,65.3,1.3,17.1,0.2,水果類；每100g；食藥署標示值,5,0.3
